id,nombre,created_at,updated_at
1,Material_0001,2022-08-10 00:00:00,2020-06-11 00:00:00
2,Material_0002,2020-11-19 00:00:00,2021-01-27 00:00:00
3,Material_0003,2020-01-25 00:00:00,2023-07-28 00:00:00
4,Material_0004,2024-03-26 00:00:00,2024-05-18 00:00:00
5,Material_0005,2021-11-30 00:00:00,2023-09-20 00:00:00
6,Material_0006,2024-11-27 00:00:00,2021-06-01 00:00:00
7,Material_0007,2024-04-18 00:00:00,2021-07-28 00:00:00
8,Material_0008,2021-08-26 00:00:00,2023-12-01 00:00:00
9,Material_0009,2021-09-03 00:00:00,2022-10-23 00:00:00
10,Material_0010,2022-01-29 00:00:00,2023-05-09 00:00:00
11,Material_0011,2024-10-12 00:00:00,2020-04-19 00:00:00
12,Material_0012,2023-04-12 00:00:00,2020-06-23 00:00:00
13,Material_0013,2022-11-17 00:00:00,2023-05-24 00:00:00
14,Material_0014,2021-01-07 00:00:00,2022-09-16 00:00:00
15,Material_0015,2020-05-16 00:00:00,2021-12-04 00:00:00
16,Material_0016,2020-03-17 00:00:00,2021-12-24 00:00:00
17,Material_0017,2024-12-23 00:00:00,2020-03-07 00:00:00
18,Material_0018,2023-11-07 00:00:00,2020-11-02 00:00:00
19,Material_0019,2023-01-03 00:00:00,2024-11-05 00:00:00
20,Material_0020,2020-02-18 00:00:00,2020-10-29 00:00:00
21,Material_0021,2020-01-30 00:00:00,2021-04-14 00:00:00
22,Material_0022,2020-01-21 00:00:00,2020-04-09 00:00:00
23,Material_0023,2024-06-14 00:00:00,2021-06-03 00:00:00
24,Material_0024,2020-01-29 00:00:00,2024-01-29 00:00:00
25,Material_0025,2021-02-20 00:00:00,2022-11-28 00:00:00
26,Material_0026,2020-04-19 00:00:00,2023-12-29 00:00:00
27,Material_0027,2022-02-08 00:00:00,2020-12-26 00:00:00
28,Material_0028,2023-04-17 00:00:00,2021-07-12 00:00:00
29,Material_0029,2020-06-19 00:00:00,2020-03-22 00:00:00
30,Material_0030,2020-01-12 00:00:00,2024-06-26 00:00:00
31,Material_0031,2020-09-27 00:00:00,2022-11-30 00:00:00
32,Material_0032,2024-03-11 00:00:00,2023-11-04 00:00:00
33,Material_0033,2024-01-12 00:00:00,2020-02-05 00:00:00
34,Material_0034,2021-11-17 00:00:00,2021-04-16 00:00:00
35,Material_0035,2021-09-21 00:00:00,2020-10-03 00:00:00
36,Material_0036,2021-08-21 00:00:00,2020-06-23 00:00:00
37,Material_0037,2023-01-25 00:00:00,2022-05-21 00:00:00
38,Material_0038,2022-05-29 00:00:00,2024-12-07 00:00:00
39,Material_0039,2022-06-14 00:00:00,2022-11-28 00:00:00
40,Material_0040,2021-07-10 00:00:00,2023-09-21 00:00:00
41,Material_0041,2023-08-02 00:00:00,2020-05-20 00:00:00
42,Material_0042,2024-10-01 00:00:00,2023-12-17 00:00:00
43,Material_0043,2024-06-11 00:00:00,2020-06-15 00:00:00
44,Material_0044,2023-04-14 00:00:00,2021-09-15 00:00:00
45,Material_0045,2020-12-30 00:00:00,2022-09-18 00:00:00
46,Material_0046,2021-08-06 00:00:00,2023-07-26 00:00:00
47,Material_0047,2022-02-02 00:00:00,2021-07-18 00:00:00
48,Material_0048,2024-02-15 00:00:00,2020-06-06 00:00:00
49,Material_0049,2020-07-17 00:00:00,2024-04-18 00:00:00
50,Material_0050,2024-01-27 00:00:00,2020-05-02 00:00:00
51,Material_0051,2020-02-25 00:00:00,2023-08-31 00:00:00
52,Material_0052,2022-09-14 00:00:00,2021-06-24 00:00:00
